Letra;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99;x100
A1;1;2;2;3;4;4;4;5;5;5;5;5;5;5;6;7;8;7;8;8;7;6;5;5;6;5;6;5;6;7;7;7;8;7;7;7;8;8;9;11;11;12;10;9;8;8;8;8;7;9;8;10;9;8;8;9;8;7;6;7;7;7;7;8;9;8;8;7;8;7;7;8;6;6;6;6;6;7;6;6;5;4;6;6;8;8;8;8;8;5;6;5;4;4;3;4;5;5;3;1
A2;2;2;4;4;6;8;8;9;10;12;13;13;13;13;12;11;11;11;12;13;11;11;12;12;10;10;10;12;13;11;13;13;14;15;15;16;16;17;18;19;18;18;20;19;18;20;20;19;18;17;18;18;17;14;15;15;15;12;12;12;12;12;12;11;11;11;11;11;9;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;10;10;10;9;9;7;7;7;6;4;3;3;3;3;1
A3;2;2;2;2;3;3;3;4;4;5;5;6;6;6;6;5;6;6;5;6;7;7;7;8;7;6;7;6;7;7;7;6;6;7;7;8;8;9;9;10;10;9;9;8;9;8;9;8;8;9;8;8;7;6;6;6;6;7;7;6;7;7;6;7;7;7;7;7;7;9;9;10;9;9;10;9;10;10;10;10;10;9;9;10;10;10;10;10;11;10;11;12;13;15;13;12;11;7;4;2
A4;1;2;2;3;4;4;4;4;4;4;5;6;6;6;5;5;5;5;5;6;6;8;7;8;7;7;6;7;6;5;6;5;6;6;6;6;6;5;7;8;7;8;7;8;8;7;7;8;7;8;9;10;11;11;11;10;9;10;8;9;9;8;8;7;7;8;8;8;9;9;8;7;7;7;7;7;7;6;6;6;7;6;6;6;7;8;8;8;8;7;7;8;7;7;7;8;7;6;4;2
B1;2;5;9;49;51;57;63;78;90;51;50;41;26;8;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;7;7;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;9;7;7;8;8;8;8;8;7;8;8;8;9;8;8;8;8;9;8;8;8;8;10;9;11;8;9;10;10;11;11;10;10;10;12;11;13;12;13;13;13;13;15;16;18;29;29;30;35;28;16;13;9
B2;2;5;9;49;51;53;50;49;47;8;7;7;7;8;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;7;7;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;9;7;7;8;8;8;8;8;7;8;8;8;9;8;8;8;8;9;8;8;8;8;10;9;11;8;9;10;10;11;11;10;10;10;12;11;13;12;13;13;13;13;15;16;18;29;29;30;35;28;16;13;9
B3;2;5;7;9;49;51;53;63;63;78;91;52;51;50;41;40;26;8;7;7;7;7;7;7;7;8;8;8;8;8;8;7;8;8;8;8;8;8;8;7;7;7;8;8;8;7;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;9;10;7;8;8;8;8;8;8;8;7;7;8;8;8;9;8;8;8;8;8;8;9;8;9;8;8;8;9;9;9;11;11;9;7;8;3;3;3
B4;4;13;31;46;47;47;43;37;23;4;4;4;7;7;7;8;8;8;8;8;7;8;8;8;8;8;8;7;7;8;8;7;7;8;8;8;8;8;8;8;8;8;8;8;8;10;7;8;8;8;8;8;8;7;8;8;8;9;8;8;8;8;9;8;9;8;8;9;9;9;11;8;9;10;10;10;11;10;11;10;12;11;13;11;13;13;14;13;14;16;18;30;30;29;31;33;28;14;13;9
C1;12;18;25;31;16;15;13;12;10;8;9;8;8;7;7;7;6;6;7;5;6;7;6;5;6;6;5;6;6;6;6;5;5;6;5;4;6;4;5;6;5;4;5;5;5;5;5;5;4;4;5;6;5;4;4;4;4;6;6;6;6;6;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;5;3;2
C2;9;17;25;31;19;17;16;12;13;12;9;9;7;6;7;7;6;6;6;6;5;6;6;7;5;6;7;6;5;5;6;5;5;7;5;6;6;6;6;6;6;5;6;5;6;5;5;5;6;6;5;5;5;6;6;6;6;5;5;5;6;6;6;6;6;6;6;5;5;5;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;6;6;4
